абсолютизирование	[абсолютизировать]
закатывание	[закатывать, закатывать]
закачивание	[закачивать]
закачка	[закачать]
закашивание	[закашивать, закашиваться]
закваска	[заквасить, закваситься]
заквашивание	[заквашивать, заквашиваться]
закидывание	[закидывать, закидываться, закидывать]
закипание	[закипать]
закисание	[закисать]
закладка	[закладывать, закладываться]
закладывание	[закладывать, закладываться]
заклание	[заклать]
заклёвывание	[заклёвывать]
заклеивание	[заклеивать, заклеиваться]
заклейка	[заклеить]
заклёпка	[заклепать]
заклёпывание	[заклёпывать]
заклинание	[заклинать]
заклинение	[заклинить, заклиниться]
заклинивание	[заклинивать, заклиниваться]
заключение	[заключать, заключить, заключаться, заключать, заключить, заключаться]
заковка	[заковать]
заковывание	[заковывать]
закол	[закалывать, заколоть]
заколачивание	[заколачивать, заколачиваться]
заколдовывание	[заколдовывать, заколдовываться]
закольцовывание	[закольцовывать]
законвертовывание	[законвертовывать]
законопачивание	[законопачивать]
законтрактовывание	[законтрактовывать]
закоренение	[закоренеть]
закоснение	[закоснеть]
закостенение	[закостенеть]
закраивание	[закраивать]
закрапывание	[закрапывать]
закрашивание	[закрашивать]
закрепка	[закреплять, закрепить]
закрепление	[закреплять, закрепляться]
закрепощение	[закрепощать, закрепостить, закрепощаться, закрепоститься]
закрещивание	[закрещивать]
закривление	[закривлять, закривить]
закрой	[закроить]
закругление	[закруглять, закруглить]
закрутка	[закрутить, закрутиться]
закручивание	[закручивать, закручиваться]
закрывание	[закрывать, закрываться]
закрытие	[закрыть]
закупание	[закупать]
закупка	[закупать, закупить]
закупоривание	[закупоривать, закупориваться]
закупорка	[закупорить, закупориться]
закуривание	[закуривать]
закурка	[закурить]
закуска	[закусывать, закусить]
закусывание	[закусывать]
закутывание	[закутывать, закутываться]
залавливание	[залавливать]
залакировывание	[залакировывать]
заламывание	[заламывать, заламываться]
залегание	[залегать]
заледенение	[заледенеть]
залезание	[залезать]
залёт	[залетать, залететь]
залечивание	[залечивать, залечиваться]
заливание	[заливать, заливаться]
заливка	[залить]
зализывание	[зализывать]
залужение	[залужать, залужить]
залучение	[залучать, залучить]
заляпывание	[заляпывать, заляпываться]
замазывание	[замазывать]
замалёвывание	[замалёвывать]
замаливание	[замаливать]
замалчивание	[замалчивать]
заманивание	[заманивать]
заманка	[заманить]
замариновывание	[замариновывать]
замаскировывание	[замаскировывать, замаскировываться]
замасливание	[замасливать, замасливаться]
заматывание	[заматывать, заматываться]
замах	[замахиваться, замахнуться]
замачивание	[замачивать]
замащивание	[замащивать]
замедление	[замедлять, замедлить, замедляться, замедлиться]
замедливание	[замедливать]
замежевание	[замежевать]
замежёвывание	[замежёвывать]
замеливание	[замеливать]
замена	[заменять, заменить, заменяться, замениться]
замер	[замерять, замерить]
замерзание	[замерзать]
замес	[замешивать, замесить, замешиваться, замеситься]
заметание	[заметать]
замётка	[замётывать, заметать]
замётывание	[замётывать, замётывать]
замешивание	[замешивать, замешиваться, замешивать]
замещение	[замещать, заместить, замещаться]
замирание	[замирать, замирать]
замирение	[замирять, замирить, замиряться, замириться, замиряться, замириться]
замокание	[замокать]
замолачивание	[замолачивать]
замораживание	[замораживать]
заморозка	[заморозить]
замочка	[замочить]
замощение	[замостить]
замуровывание	[замуровывать]
замусливание	[замусливать, замусливаться]
замусоливание	[замусоливать, замусоливаться]
замусоривание	[замусоривать, замусориваться]
замучивание	[замучивать]
замывание	[замывать]
замызгивание	[замызгивать, замызгиваться]
замыкание	[замыкать, замыкаться]
замышление	[замышлять]
занавешивание	[занавешивать, занавешиваться]
занашивание	[занашивать, занашиваться]
занесение	[занести]
занижение	[занижать, занизить]
занимание	[занимать]
занос	[заносить]
зануздывание	[зануздывать]
занумеровывание	[занумеровывать]
занятие	[занять]
заострение	[заострять, заострить, заостряться, заостриться]
западание	[западать, западать]
запаздывание	[запаздывать]
запаивание	[запаивать, запаивать]
запайка	[запаять]
запаковка	[запаковать]
запаковывание	[запаковывать]
запакощивание	[запакостить]
запалзывание	[запалзывать]
запамятование	[запамятовать]
запаривание	[запаривать]
запарка	[запарить, запариться]
запарывание	[запарывать]
запасание	[запасать, запасаться]
запахивание	[запахивать, запахивать, запахиваться]
запашка	[запахать]
запевание	[запевать]
запекание	[запекать, запекаться]
запенивание	[запенивать, запениваться]
запечатление	[запечатлеть, запечатлеться]
запечатывание	[запечатывать]
запивание	[запивать]
запивка	[запить]
запиливание	[запиливать]
запинание	[запинаться]
запирание	[запирать, запираться]
записывание	[записывать, записываться]
запись	[записывать, записать, записываться, записаться]
запихивание	[запихивать]
заплёвывание	[заплёвывать]
заплёскивание	[заплёскивать, заплёскивать, заплёскиваться]
заплесневение	[заплесневеть]
заплетание	[заплетать]
запломбировывание	[запломбировывать]
заплывание	[заплывать, заплывать]
заповедание	[заповедать]
заповедование	[заповедовать]
заподазривание	[заподазривать, заподозривать]
заполаскивание	[заполаскивать]
заползание	[заползать]
заполнение	[заполнять, заполнить, заполняться, заполниться]
заполучение	[заполучить]
запоминание	[запоминать]
запорашивание	[запорашивать, запорашиваться]
запотевание	[запотевать]
заправка	[заправлять, заправить, заправляться, заправиться]
запрашивание	[запрашивать]
запревание	[запревать]
запрессовка	[запрессовывать, запрессовать, запрессовываться, запрессоваться]
запрет	[запретить]
запрещение	[запрещать]
заприходование	[заприходовать]
запродажа	[запродавать, запродать]
запрокидывание	[запрокидывать, запрокидываться]
запруживание	[запруживать, запруживаться]
запрягание	[запрягать, запрягаться]
запряжка	[запрягать, запрячь]
запрятывание	[запрятывать, запрятываться]
запугивание	[запугивать]
запудривание	[запудривать]
запуск	[запускать, запустить]
запустение	[запустеть]
запутывание	[запутывать, запутываться]
запухание	[запухать]
зарабатывание	[зарабатывать]
заравнивание	[заравнивать]
заражение	[заражать, заражаться]
зарастание	[зарастать]
заращение	[зарастать, зарасти]
заращивание	[заращивать]
зарекомендовывание	[зарекомендовывать, зарекомендоваться]
зарисовка	[зарисовать, зарисовывать]
зарисовывание	[зарисовывать]
зарифмовывание	[зарифмовывать]
зарождение	[зарождать, зародить, зарождаться, зародиться]
зарубание	[зарубать, зарубаться]
зарубка	[зарубать, зарубить]
зарубцевание	[зарубцеваться, зарубцеваться]
заруливание	[заруливать]
зарумянивание	[зарумянивать, зарумяниваться]
зарыбление	[зарыблять, зарыбить]
зарывание	[зарывать]
зарядка	[зарядить, зарядиться]
заряжение	[заряжать, зарядить, заряжаться, зарядиться]
засадка	[засадить]
засаживание	[засаживать]
засаливание	[засаливать, засаливаться, засаливать, засаливаться]
засасывание	[засасывать]
засахаривание	[засахаривать, засахариваться]
засветка	[засветить, засветиться]
засвечивание	[засвечивать]
засвидетельствование	[засвидетельствовать]
засев	[засевать, засеять]
засевание	[засевать]
засеивание	[засеивать]
засекание	[засекать]
засекречивание	[засекречивать]
заселение	[заселять, заселить, заселяться, заселиться]
засечка	[засекать]
засиживание	[засиживаться]
засинивание	[засинивать, засиниваться]
заскабливание	[заскабливать]
заскакивание	[заскакивать, заскакивать]
заскирдовывание	[заскирдовывать]
заскок	[заскакивать, заскочить]
заслащивание	[заслащивать]
заслеживание	[заслеживать]
заслепление	[заслеплять]
заслонение	[заслонять, заслонить, заслоняться, заслониться]
заслуживание	[заслуживать]
заслушание	[заслушать]
заслушивание	[заслушивать]
заслюнивание	[заслюнивать, заслюниваться]
засмаливание	[засмаливать, засмаливаться]
засмаркивание	[засмаркивать]
засматривание	[засматривать, засматриваться]
засовывание	[засовывать]
засол	[засолить]
засоление	[засоляться, засолиться, засоляться, засолиться]
засорение	[засорять, засорить, засоряться, засориться]
засос	[засасывать, засосать]
заспиртовывание	[заспиртовывать]
заставание	[заставать]
застаивание	[застаиваться]
застарение	[застареть]
застёгивание	[застёгивать, застёгиваться, застёгивать]
застекление	[застеклять, застеклить]
застигание	[застигать]
застилание	[застилать]
застилка	[застилать]
застирывание	[застирывать]
застопоривание	[застопоривать, застопориваться]
застрагивание	[застрагивать]
застраивание	[застраивать, застраиваться]
застрахование	[застраховать]
застраховывание	[застраховывать, застраховываться]
застрачивание	[застрачивать]
застращивание	[застращивать]
застревание	[застревать]
застригание	[застригать]
застройка	[застроить, застроиться]
застудневание	[застудневать]
застуживание	[застуживать]
заступание	[заступать]
заступление	[заступать, заступить]
застывание	[застывать]
засупонивание	[засупонивать, засупониваться]
засусливание	[засусливать, засусливаться]
засусоливание	[засусоливать, засусоливаться]
засучивание	[засучивать, засучиваться]
засушивание	[засушивать]
засушка	[засушить]
засчитывание	[засчитывать]
засылание	[засылать]
засылка	[засылать, заслать]
засыпание	[засыпать, засыпать, засыпаться]
засыпка	[засыпать, засыпать, засыпаться]
засыхание	[засыхать]
затаивание	[затаивать, затаиваться]
заталкивание	[заталкивать]
затапливание	[затапливать, затапливать, затапливаться]
затаптывание	[затаптывать]
затаривание	[затаривать]
затаскивание	[затаскивать, затаскивать]
затачивание	[затачивать, затачивать]
затвердевание	[затвердевать]
затвердение	[затвердеть]
затверживание	[затверживать]
затёк	[затекать, затечь]
затекание	[затекать]
затемнение	[затемнять, затемнить, затемняться  
затемниться]
затенение	[затенять, затенить, затеняться, затениться]
затёсывание	[затёсывать]
затирание	[затирать, затираться]
затирка	[затирать, затереть]
затискивание	[затискивать, затискиваться]
затихание	[затихать, затихать]
затоваривание	[затоваривать, затовариваться]
затопка	[затоплять, затопить]
затопление	[затоплять, затопить, затопляться]
затормаживание	[затормаживать, затормаживаться]
заточение	[заточать, заточить]
заточка	[заточить]
затрагивание	[затрагивать]
затрамбовывание	[затрамбовывать]
затрата	[затрачивать, затратить]
затрачивание	[затрачивать]
затребование	[затребовать]
затуманивание	[затуманивать, затуманиваться]
затупление	[затуплять, затупить, затупляться, затупиться]
затухание	[затухать]
затушёвка	[затушёвывать, затушевать, затушёвываться, затушеваться]
затушёвывание	[затушёвывать, затушёвываться]
затыкание	[затыкать]
затюковывание	[затюковывать]
затягивание	[затягивать, затягиваться]
затяжка	[затягивать, затянуть, затягиваться, затянуться]
зауздывание	[зауздывать]
заутюживание	[заутюживать]
заучивание	[заучивать]
зафрахтовывание	[зафрахтовывать]
захаживание	[захаживать]
захапывание	[захапывать]
захаркивание	[захаркивать]
захваливание	[захваливать, захваливаться]
захварывание	[захварывать]
захват	[захватывать, захватить]
захватывание	[захватывать, захватывать]
захламление	[захламлять, захламляться]
захламливание	[захламливать]
захлёбывание	[захлёбываться]
захлёстывание	[захлёстывать, захлёстывать, захлёстываться]
захлопывание	[захлопывать, захлопываться]
заход	[заходить]
захоронение	[захоронить]
зацапывание	[зацапывать]
зацветание	[зацветать]
зацементирование	[зацементировать]
зацентровка	[зацентровать]
зацеп	[зацеплять, зацепить, зацепляться, зацепиться]
зацепление	[зацеплять, зацепить, зацепляться, зацепиться]
зачаливание	[зачаливать, зачаливаться]
зачаровывание	[зачаровывать]
зачатие	[зачать]
зачёркивание	[зачёркивать]
зачернение	[зачернять, зачернить]
зачерпывание	[зачерпывать, зачерпываться]
зачерствение	[зачерстветь]
зачерчивание	[зачерчивать]
зачёсывание	[зачёсывать, зачёсываться]
зачёт	[зачитывать, зачесть]
зачинивание	[зачинивать, зачиниваться, зачинивать, зачиниваться]
зачинка	[зачинить, зачиниться, зачинить, зачиниться]
зачисление	[зачислять, зачислить, зачисляться, зачислиться]
зачистка	[зачищать, зачистить, зачищаться, зачиститься]
зачитывание	[зачитывать, зачитываться, зачитывать, зачитываться]
зачтение	[зачитывать, зачитать]
зашвартовывание	[зашвартовывать, зашвартовываться]
зашвыривание	[зашвыривать, зашвыривать]
зашёптывание	[зашёптывать]
зашивание	[зашивать]
зашифровка	[зашифровать]
зашифровывание	[зашифровывать]
зашлаковка	[зашлаковать]
зашлаковывание	[зашлаковывать]
зашлифовывание	[зашлифовывать]
зашнуровывание	[зашнуровывать, зашнуровываться]
зашпаклёвка	[зашпаклевать]
зашпаклёвывание	[зашпаклёвывать]
зашпиливание	[зашпиливать, зашпиливаться]
зашпунтовывание	[зашпунтовывать]
заштамповывание	[заштамповывать]
заштемпелёвывание	[заштемпелёвывать]
заштопывание	[заштопывать]
зашторивание	[зашторивать, зашториваться]
заштриховка	[заштриховать]
заштриховывание	[заштриховывать]
заштукатуривание	[заштукатуривать]
заштуковывание	[заштуковывать]
защебенивание	[защебенивать]
защёлкивание	[защёлкивать, защёлкиваться]
защемление	[защемлять, защемить, защемляться, защемиться]
защипка	[защипать, защипнуть]
защипывание	[защипывать, защипывать]
защита	[защищать, защитить, защищаться, защититься, защищать ; отстаивание на суде интересов 
обвиняемого, потерпевшего, защищать, защитить, защищаться, защититься; 
процедура публичного отстаивания положений, выдвинутых в дипломе, проекте, диссертации, т]
защуривание	[защуривать, защуриваться]
зверование	[зверовать]
звучание	[звучать]
звякание	[звякать]
зевание	[зевать]
зеленение	[зеленить, зелениться, зеленеть, зеленеться]
зенкование	[зенковать]
зимование	[зимовать]
зимовка	[зимовать, зимовать]
зияние	[зиять]
злобствование	[злобствовать, злобствовать]
злословие	[злословить]
злоупотребление	[злоупотреблять, злоупотребить]
золение	[золить]
золочение	[золотить]
зондирование	[зондировать]
зубрёжка	[зубрить]
зубрение	[зубрить, зубрить]
зудение	[зудеть, зудеть]
игнорирование	[игнорировать]
игра	[играть]
идеализирование	[идеализировать]
идентифицирование	[идентифицировать]
избавление	[избавлять, избавить, избавляться, избавиться]
избегание	[избегать]
избежание	[избежать]
избиение	[избить]
избрание	[избирать, избрать]
извержение	[извергать, извергнуть, извергаться, извергнуться]
известкование	[известковать]
извещение	[извещать, известить]
извивание	[извивать, извиваться]
извлечение	[извлекать, извлечь]
извозничание	[извозничать]
извращение	[извращать]
извяливание	[извяливать, извяливаться]
изгибание	[изгибать, изгибаться]
изглаживание	[изглаживать, изгладить, изглаживаться, изгладиться]
изгнание	[изгнать]
изготавливание	[изготавливать, изготавливаться]
изготовка	[изготовлять, изготовить, изготовляться, изготовиться]
изготовление	[изготовлять, изготовить]
изгрызание	[изгрызать]
изгрязнение	[изгрязнять, изгрязнить, изгрязняться, изгрязниться]
издалбливание	[издалбливать]
издание	[издать]
издевательство	[издеваться]
издёргивание	[издёргивать]
издробление	[издроблять, издробляться]
издыхание	[издыхать, издыхать]
изживание	[изживать, изживаться]
изламывание	[изламывать, изламываться]
излечение	[излечить, излечиться]
излечивание	[излечивать, излечиваться]
изливание	[изливать, изливаться]
излияние	[изливаться]
изложение	[излагать, изложить]
излом	[изламывать, изломать, изломить, изломаться, изломиться]
излучение	[излучать, излучить]
измазывание	[измазывать, измазываться]
измалывание	[измалывать, измалываться]
изматывание	[изматывать, изматываться]
измачивание	[измачивать, измачиваться]
измельчание	[измельчать]
измельчение	[измельчать, измельчить, измельчиться]
изменение	[изменять, изменить, изменяться, измениться]
измерение	[измерять, измерить, измеряться]
измол	[измолоть]
измолачивание	[измолачивать]
измусливание	[измусливать, измусливаться]
измусоливание	[измусоливать, измусоливаться]
измывательство	[измываться]
измыливание	[измыливать]
измышление	[измышлять, измыслить]
изнасилование	[изнасиловать]
изнашивание	[изнашивать, изнашиваться]
изнеживание	[изнеживать, изнеживаться]
изничтожение	[изничтожать, изничтожить, изничтожаться, изничтожиться]
износ	[износиться, изнашиваться]
изнывание	[изнывать]
изобличение	[изобличать, изобличить, изобличаться, изобличиться]
изображение	[изображать, изобразить, изображаться, изобразиться]
изобретение	[изобретать]
изолирование	[изолировать, изолироваться]
изоляция	[изолировать, изолироваться]
изощрение	[изощрять, изощрить, изощряться, изощриться]
израстание	[израстать, израстать]
израсходование	[израсходовать, израсходоваться]
изреживание	[изреживать, изреживаться]
изрезывание	[изрезывать]
изрекание	[изрекать]
изречение	[изречь]
изрешечивание	[изрешечивать]
изрывание	[изрывать]
изрыгание	[изрыгать, изрыгаться]
изувечивание	[изувечивать, изувечиваться]
изукрашивание	[изукрашивать, изукрашиваться]
изуродование	[изуродовать]
изучение	[изучать, изучить]
изъедание	[изъедать]
изъявление	[изъявлять, изъявить]
изъязвление	[изъязвлять]
изъяснение	[изъяснять, изъяснить]
изъятие	[изъять]
изымание	[изымать]
изыскание	[изыскать]
изыскивание	[изыскивать]
икание	[икать]
иллюминирование	[иллюминировать]
иллюстрирование	[иллюстрировать]
именование	[именовать]
имитирование	[имитировать]
импровизация	[импровизировать]
инвертирование	[инвертировать]
инвестирование	[инвестировать]
индивидуализация	[индивидуализировать]
индивидуализирование	[индивидуализировать]
инкассирование	[инкассировать]
инкорпорирование	[инкорпорировать]
инкриминирование	[инкриминировать]
инкрустирование	[инкрустировать]
инкубирование	[инкубировать]
инспектирование	[инспектировать]
инспирирование	[инспирировать]
инструктирование	[инструктировать]
инсценирование	[инсценировать]
интегрирование	[интегрировать, интегрировать]
интеллектуализация	[интеллектуализировать]
интенсификация	[интенсифицировать]
интервьюирование	[интервьюировать]
интересничание	[интересничать]
интернационализирование	[интернационализировать, интернационализироваться]
интернирование	[интернировать]
интерполирование	[интерполировать]
интерпретация	[интерпретировать]
интерпретирование	[интерпретировать]
интонирование	[интонировать]
инфицирование	[инфицировать, инфицироваться]
информирование	[информировать]
иронизирование	[иронизировать]
иррадиирование	[иррадиировать]
искажение	[искажать, исказить, искажаться, исказиться]
искалечение	[искалечить, искалечиться]
искалечивание	[искалечивать, искалечиваться]
искалывание	[искалывать, искалываться]
искание	[искать]
искапывание	[искапывать]
искармливание	[искармливать]
исклёвывание	[исклёвывать, исклёвываться]
исключение	[исключать, исключить, исключаться, исключиться]
исковеркивание	[исковеркивать, исковеркиваться]
исковыривание	[исковыривать]
исколачивание	[исколачивать]
исконопачивание	[исконопачивать]
искорёживание	[искорёживать, искорёживаться]
искоренение	[искоренять, искоренить, искореняться, искорениться]
искрашивание	[искрашивать, искрашиваться]
искрение	[искрить, искриться]
искрещивание	[искрещивать]
искривление	[искривлять, искривить, искривляться, искривиться]
искручивание	[искручивать]
искуривание	[искуривать, искуриваться]
искусывание	[искусывать]
искушение	[искушать, искусить]
испарение	[испарять, испарить, испаряться, испариться]
испепеление	[испепелять, испепелить, испепеляться, испепелиться]
испещрение	[испещрять, испещрить]
испиливание	[испиливать]
исписывание	[исписывать]
исповедание	[исповедать, исповедаться]
исповедование	[исповедовать, исповедоваться]
исполнение	[исполнять, исполнить, исполняться, исполниться]
использование	[использовать, использоваться]
исправление	[исправлять, исправить, исправляться]
испражнение	[испражняться, испражниться]
испрашивание	[испрашивать]
испрыскивание	[испрыскивать, испрыскиваться]
испускание	[испускать]
испытание	[испытать]
иссаливание	[иссаливать, иссаливаться]
иссверливание	[иссверливать]
иссекание	[иссекать]
иссечение	[иссечь]
исследование	[исследовать]
исстёгивание	[исстёгивать, исстёгиваться]
исстирывание	[исстирывать, исстирываться]
исстрачивание	[исстрачивать]
исстреливание	[исстреливать]
иссушение	[иссушать, иссушить, иссушаться, иссушиться]
иссыхание	[иссыхать]
иссякание	[иссякать, иссякать]
истаивание	[истаивать, истаивать]
истапливание	[истапливать, истапливаться, истапливать, истапливаться]
истаптывание	[истаптывать]
истаскивание	[истаскивать]
истачивание	[истачивать, истачиваться]
истекание	[истекать]
истёсывание	[истёсывать]
истечение	[истечь]
истирание	[истирать, истираться]
истискивание	[истискивать]
истлевание	[истлевать]
истление	[истлеть]
исток	[истекать, истечь]
истолкование	[истолковать]
истолковывание	[истолковывать]
истомление	[истомлять, истомляться]
истончание	[истончать, истончаться]
истончение	[истончить, истончиться]
исторжение	[исторгать, исторгнуть, исторгаться, исторгнуться]
истребление	[истреблять, истребить]
истрёпывание	[истрёпывать, истрёпываться]
иступление	[иступить, иступиться]
истязание	[истязать]
исхлёстывание	[исхлёстывать, исхлёстываться]
исход	[исходить]
исходатайствование	[исходатайствовать]
исхудание	[исхудать]
исцарапывание	[исцарапывать, исцарапываться]
исцеление	[исцелять, исцелить, исцеляться, исцелиться]
исчезание	[исчезать]
исчезновение	[исчезать, исчезнуть, исчезать, исчезнуть]
исчёркивание	[исчёркивать]
исчернение	[исчернять, исчернить, исчерняться, исчерниться]
исчерпывание	[исчерпывать]
исчерчивание	[исчерчивать]
исчисление	[исчислять, исчислить; подсчет, вычисление, исчислять, исчислить; 
перечисление]
исшаркивание	[исшаркивать, исшаркиваться]
йотирование	[йотировать]
каждение	[кадить]
каландрирование	[каландрировать]
каландрование	[каландровать]
калёвка	[калевать]
каление	[калить, калиться]
калечение	[калечить]
калибрирование	[калибрировать]
калибрование	[калибровать]
калькирование	[калькировать]
кальцинирование	[кальцинировать]
калякание	[калякать]
камуфлирование	[камуфлировать]
канонизация	[канонизировать]
кантование	[кантовать, кантовать]
канючение	[канючить]
капание	[капать]
капелирование	[капелировать]
капитализация	[капитализировать]
капотирование	[капотировать, капотировать]
капризничание	[капризничать]
каптирование	[каптировать]
карабкание	[карабкаться]
каркание	[каркать]
картавление	[картавить]
картелирование	[картелировать]
картографирование	[картографировать]
касание	[касаться]
кастрация	[кастрировать]
каталогизация	[каталогизировать]
катание	[катать, кататься]
катапультирование	[катапультировать, катапультироваться]
катетеризация	[катетеризировать]
каткование	[катковать]
качание	[качать, качаться]
качение	[катить]
качка	[качать, качаться]
кашляние	[кашлять]
квакание	[квакать]
квалификация	[квалифицировать]
квартирование	[квартировать]
квасцевание	[квасцевать]
квашение	[квасить, кваситься]
квоктание	[квоктать]
квохтание	[квохтать]
кибернетизация	[кибернетизировать]
кивание	[кивать]
кидание	[кидать]
кинофикация	[кинофицировать]
кипение	[кипеть, кипеть]
кипячение	[кипятить, кипятиться]
кишение	[кишеть]
кладка	[класть]
классифицирование	[классифицировать]
клацание	[клацать]
клёв	[клевать]
клевание	[клевать]
клеение	[клеить, клеиться]
клейка	[клеить]
клеймение	[клеймить]
клектание	[клектать]
клепание	[клепать]
клёпка	[клепать]
клинкерование	[клинкеровать]
клиширование	[клишировать]
клокотание	[клокотать]
клонирование	[клонировать, клонировать]
клохтание	[клохтать]
княжение	[княжить]
коагулирование	[коагулировать]
коверкание	[коверкать]
ковка	[ковать]
ковыляние	[ковылять]
ковыряние	[ковырять, ковыряться]
кодирование	[кодировать, кодироваться]
козыряние	[козырять, козырять]
кокетничание	[кокетничать]
коксование	[коксовать]
колебание	[колебаться]
колесование	[колесовать]
колка	[колоть]
коллекционирование	[коллекционировать]
колобродство	[колобродить]
колонизация	[колонизировать]
колочение	[колотить]
колошение	[колоситься, колоситься]
колыхание	[колыхать, колыхаться]
кольцевание	[кольцевать]
колядование	[колядовать]
командирование	[командировать]
командование	[командовать]
комбайнирование	[комбайнировать]
комбинирование	[комбинировать]
комикование	[комиковать]
комиссование	[комиссовать]
комментирование	[комментировать]
компилирование	[компилировать]
комплектование	[комплектовать]
компоновка	[компоновать]
компостирование	[компостировать, компостировать]
компрометирование	[компрометировать]
конвейеризация	[конвейеризировать]
конвертирование	[конвертировать]
конвоирование	[конвоировать]
конденсирование	[конденсировать, конденсироваться]
кондиционирование	[кондиционировать]
конкретизация	[конкретизировать, конкретизироваться]
конкурирование	[конкурировать]
конопачение	[конопатить]
консервация	[консервировать, консервироваться]
консервирование	[консервировать]
консолидирование	[консолидировать, консолидироваться]
конспектирование	[конспектировать]
констатирование	[констатировать]
конституирование	[конституировать]
конструирование	[конструировать]
консультирование	[консультировать]
контрактация	[контрактовать]
контролирование	[контролировать]
